Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0.4,1170.6351617066443,1146.253040829091,1190.038651,1189.8195010202191,1077.0691749307443,1.024610961,1.003270249,1.041594073,1.04140226,0.942716329
0.41,1171.655933715335,1147.761236014427,1192.1956596182254,1191.532025682519,1078.3893670712714,1.024625979,1.003729803,1.042588195,1.04200784,0.943063342
0.42,1172.6485491909557,1149.233099117002,1194.3044562996297,1193.2047410866344,1079.6777590202985,1.024641842,1.00418179,1.043564432,1.042603519,0.943405429
0.43,1173.6144278644392,1150.6703396752127,1196.3672290330428,1194.8394876773243,1080.935847077693,1.024658469,1.00462646,1.044523468,1.043189629,0.943742718
0.44,1174.554886940179,1152.074549333367,1198.3860182776702,1196.4379804503533,1082.1650243512413,1.024675787,1.005064053,1.045465946,1.043766488,0.944075335
0.45,1175.4711506342646,1153.4472124384483,1200.362730161084,1198.0018201311427,1083.3665900331107,1.024693732,1.005494799,1.046392474,1.044334398,0.944403402
0.46,1176.3643586355092,1154.789715473773,1202.2991480840171,1199.5325031334178,1084.5417576564942,1.024712244,1.005918916,1.047303626,1.044893646,0.94472704
0.47,1177.2355736314391,1156.1033554766327,1204.1969430943418,1201.0314304543874,1085.6916624644657,1.024731269,1.006336612,1.048199944,1.045444506,0.945046362
0.48,1178.0857880200697,1157.3893475710647,1206.0576831839685,1202.499915640026,1086.8173680031032,1.024750759,1.006748086,1.049081942,1.045987239,0.945361479
0.49,1178.9159299105038,1158.648831723549,1207.8828416404203,1203.9391919348488,1087.919872034894,1.024770668,1.007153527,1.049950107,1.046522096,0.945672499
0.5,1179.7268685005367,1159.882878815988,1209.6738045663822,1205.3504187144645,1089.000111854548,1.024790956,1.007553117,1.0508049,1.047049313,0.945979527
0.51,1180.5194189069912,1161.0924961179262,1211.4318776649652,1206.7346872856383,1090.058969078731,1.024811585,1.007947029,1.051646761,1.047569119,0.946282663
0.52,1181.2943465140088,1162.2786322271568,1213.1582923752712,1208.0930261271335,1091.0972739707213,1.024832522,1.008335429,1.052476105,1.04808173,0.946582005
0.53,1182.0523708956591,1163.442182,1214.8542114316697,1209.4264056348743,1092.1158093527774,1.024853736,1.008718476,1.053293329,1.048587356,0.946877646
0.54,1182.7941693617086,1164.5839883027363,1216.5207339106862,1210.7357424267095,1093.1153141534887,1.024875197,1.009096321,1.054098811,1.049086194,0.947169679
0.55,1183.5203801689931,1165.7048502941034,1218.1588998212728,1212.0219032549785,1094.0964866291033,1.024896881,1.00946911,1.054892909,1.049578435,0.947458189
0.56,1184.2316054353826,1166.8055221723043,1219.7696942872617,1213.2857085690373,1095.059987294837,1.024918763,1.009836984,1.055675968,1.050064262,0.947743264
