strain,RD,DD,TD,biaxial
2.01,1244.8850167980418,1242.4605668723354,1374.2253372247678,1264.5918537353182
2.02,1245.1882815387798,1242.7832985776581,1374.7750623258764,1264.9095782594009
2.03,1245.4900490362195,1243.1044788769818,1375.3223902761433,1265.2265593926656
2.04,1245.790334003279,1243.4241227767009,1375.8673431634381,1265.5407269532825
2.05,1246.089150937274,1243.7422450658228,1376.4099427658903,1265.825765960401
2.06,1246.3865141235292,1244.0588603195795,1376.9502105570723,1266.1376636886928
2.07,1246.6824376402074,1244.3739829042495,1377.488167712501,1266.4478760288123
2.08,1246.976935361803,1244.687626980652,1378.0238351146365,1266.7564315258855
2.09,1247.2700209631585,1244.9998065081593,1378.5572333584369,1267.0633521953805
2.1,1247.5617079233634,1245.310535248597,1379.0883827567645,1267.3418867649768
2.11,1247.8520095294225,1245.6198267699097,1379.6173033455038,1267.6457407045302
2.12,1248.140938879922,1245.9276944498308,1380.144014888668,1267.9480362892189
2.13,1248.4285088884644,1246.2341514793159,1380.6685368832168,1268.2498467726632
2.14,1248.714732287277,1246.5392108661545,1381.1908885640553,1268.5490977036782
2.15,1248.9996216303553,1246.842885438115,1381.7110889084897,1268.8217146846328
2.16,1249.2831892973627,1247.1451878468483,1382.2291566415088,1269.1181328390214
2.17,1249.5654474960756,1247.4461305703344,1382.7451102394239,1269.4141597234384
2.18,1249.846408265934,1247.7457259164398,1383.2589679347311,1269.7077180449257
2.19,1250.1260834811835,1248.0439860260612,1383.7707477204845,1270.0009309969255
2.2,1250.4044848537887,1248.3409228760454,1384.2804673544113,1270.2917198780242
2.21,1250.6816239364562,1248.6365482822164,1384.788144363125,1270.5566782065905
2.22,1250.95751212514,1248.9308739018875,1385.2937960457507,1270.8448961512222
2.23,1251.232160662592,1249.2239112374166,1385.7974394786904,1271.1328533792757
2.24,1251.5055806402231,1249.5156716380754,1386.2990915185003,1271.4184704807074
2.25,1251.7777830016566,1249.8061663036065,1386.7987688066264,1271.7038708939704
2.26,1252.0487785445875,1250.0954062860926,1387.296487772251,1271.9619737490405
2.27,1252.3185779238702,1250.38340249305,1387.7922646364825,1272.24395346861
2.28,1252.58719165402,1250.6701656899381,1388.2861154158795,1272.5247246459735
