Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.02923,978.2394409,0.01,473,1.6857994970378205
0.02933,978.4407349,0.01,473,1.6861463868786601
0.02942,978.6567383,0.01,473,1.6865186254205282
0.0295,978.8700562,0.01,473,1.6868862360417054
0.02961,979.0980835,0.01,473,1.687279195363911
0.02971,979.3525391,0.01,473,1.6877176985611484
0.02982,979.5980835,0.01,473,1.6881408450922673
0.02991,979.7935181,0.01,473,1.68847763743227
0.02999,980.0357666,0.01,473,1.6888951041407094
0.03007,980.2382812,0.01,473,1.6892440974408658
0.03016,980.4390259,0.01,473,1.689590040673314
0.03026,980.6908569,0.01,473,1.690024020898797
0.03037,980.9151611,0.01,473,1.6904105642047955
0.03047,981.1453247,0.01,473,1.6908072050116305
0.03055,981.3671875,0.01,473,1.6911895410543354
0.03064,981.5599976,0.01,473,1.691521810594914
0.03075,981.7892456,0.01,473,1.6919168735487664
0.03087,982.0492554,0.01,473,1.6923649482958465
0.03097,982.2446899,0.01,473,1.6927017404635194
0.03104,982.4488525,0.01,473,1.6930535737611805
0.03112,982.6569824,0.01,473,1.6934122439047758
0.03123,982.8725586,0.01,473,1.6937837462531162
0.03134,983.1135864,0.01,473,1.694199109329909
0.03143,983.3203735,0.01,473,1.6945554654269939
0.0315,983.5037231,0.01,473,1.6948714316930624
0.0316,983.7405396,0.01,473,1.6952795374388532
0.03172,983.9726562,0.01,473,1.695679543849527
0.03181,984.1518555,0.01,473,1.6959883579058603
0.03189,984.3753052,0.01,473,1.6963734286524728
0.03199,984.579834,0.01,473,1.696725893022395
0.03209,984.7910156,0.01,473,1.6970898221589428
0.03219,985.0216064,0.01,473,1.6974871991593057
0.03228,985.2246704,0.01,473,1.6978371392401836
0.03237,985.4191284,0.01,473,1.698172248605937
0.03247,985.6190186,0.01,473,1.6985167192789992
0.03257,985.8029785,0.01,473,1.698833737274726
0.03266,986.0167847,0.01,473,1.6992021893830278
0.03275,986.2244873,0.01,473,1.6995601231607655
0.03283,986.3909912,0.01,473,1.6998470592411763
0.03295,986.6133423,0.01,473,1.7002302367710056
0.03306,986.8295288,0.01,473,1.7006027908490042
0.03315,986.9916382,0.01,473,1.7008821538899521
0.03321,987.1621094,0.01,473,1.7011759268162974
0.03329,987.3411255,0.01,473,1.70148442516417
0.03342,987.5692749,0.01,473,1.7018775949012395
0.03354,987.7877808,0.01,473,1.7022541459999978
0.03362,987.9483643,0.01,473,1.702530879458305
0.03369,988.1157227,0.01,473,1.7028192880981012
0.0338,988.3322754,0.01,473,1.7031924732483608
0.03393,988.526001,0.01,473,1.703526320469592
0.03402,988.7296143,0.01,473,1.7038772071588617
0.03409,988.906311,0.01,473,1.7041817084859745
0.03418,989.0870361,0.01,473,1.704493151952619
0.0343,989.3193359,0.01,473,1.7048934740717534
0.0344,989.5150146,0.01,473,1.7052306870691536
0.03448,989.6710205,0.01,473,1.7054995319518678
0.03456,989.8515015,0.01,473,1.7058105547611147
0.03468,990.0599976,0.01,473,1.7061698559769711
0.0348,990.2666016,0.01,473,1.7065258965379257
0.03488,990.4564819,0.01,473,1.7068531171557562
0.03494,990.6065674,0.01,473,1.7071117594163667
0.03503,990.7775879,0.01,473,1.7074064789511034
0.03516,991.0001831,0.01,473,1.7077900771383303
0.03528,991.1997681,0.01,473,1.7081340218603984
0.03536,991.3686523,0.01,473,1.7084250599105057
0.03544,991.5540161,0.01,473,1.70874449724634
0.03555,991.7375488,0.01,473,1.7090607790485388
0.03567,991.9602661,0.01,473,1.7094445876506295
0.03577,992.1531982,0.01,473,1.7097770674337418
0.03582,992.2778931,0.01,473,1.7099919540871666
0.03589,992.4355469,0.01,473,1.7102636387950552
0.03602,992.6391602,0.01,473,1.7106145254843248
0.03614,992.8236694,0.01,473,1.710932490088443
0.03623,992.9960938,0.01,473,1.7112296289632873
0.03628,993.1218872,0.01,473,1.7114464086611652
0.03637,993.2961426,0.01,473,1.7117467028973146
0.03651,993.5270996,0.01,473,1.7121447109699386
0.03662,993.7047119,0.01,473,1.7124507901500339
0.03671,993.8743896,0.01,473,1.7127431956382602
0.03678,994.0255127,0.01,473,1.713003625994387
0.03688,994.1972046,0.01,473,1.7132995025523787
0.03701,994.4263306,0.01,473,1.7136943552636976
0.03709,994.6094971,0.01,473,1.7140100059936356
0.03717,994.7546387,0.01,473,1.714260128434062
0.03726,994.9366455,0.01,473,1.71457378065362
0.03737,995.1243286,0.01,473,1.714897214837884
0.03749,995.3059082,0.01,473,1.715210130863914
0.03756,995.460022,0.01,473,1.7154757150917261
0.03763,995.5964355,0.01,473,1.7157107964021643
0.03773,995.7570801,0.01,473,1.7159876351540682
0.03782,995.9265137,0.01,473,1.716279619984897
0.03794,996.0842285,0.01,473,1.7165514098140526
0.03804,996.2408447,0.01,473,1.716821306426425
0.03813,996.4050903,0.01,473,1.7171043507796724
0.03823,996.5537109,0.01,473,1.7173604685789088
0.03831,996.6976929,0.01,473,1.7176085926812852
0.03842,996.8918457,0.01,473,1.7179431760960442
0.03854,997.0616455,0.01,473,1.7182357919991342
0.03862,997.2115479,0.01,473,1.7184941187236142
0.0387,997.3720703,0.01,473,1.7187707468883244
0.03877,997.5134277,0.01,473,1.7190143480189466
0.0389,997.7380371,0.01,473,1.7194014172759393
0.03901,997.9259033,0.01,473,1.7197251669963338
0.03909,998.0777588,0.01,473,1.7199868594969827
0.03917,998.232666,0.01,473,1.7202538109905836
0.03926,998.3911743,0.01,473,1.720526968257858
0.03936,998.5571289,0.01,473,1.720812957729877
0.03945,998.723877,0.01,473,1.7211003146400148
0.03952,998.862915,0.01,473,1.7213399187498772
0.03963,999.0266113,0.01,473,1.7216220164947331
0.03974,999.18927,0.01,473,1.7219023261440727
0.03987,999.3488159,0.01,473,1.7221772715068633
