Strain,Stress,delT,Rate,I_Temp,Temp
0.03,1022.4434522,0.0,0.001,298,298
0.0302,1022.8482701,0.0,0.001,298,298
0.0304,1023.262767,0.0,0.001,298,298
0.0306,1023.7602138,0.0,0.001,298,298
0.0308,1024.1963452,0.0,0.001,298,298
0.031,1024.5879378,0.0,0.001,298,298
0.0312,1025.0090295,0.0,0.001,298,298
0.0314,1025.3674614,0.0,0.001,298,298
0.0316,1025.7939076,0.0,0.001,298,298
0.0318,1026.1653135,0.0,0.001,298,298
0.032,1026.5987199,0.0,0.001,298,298
0.0322,1027.0142339,0.0,0.001,298,298
0.0324,1027.4487221,0.0,0.001,298,298
0.0326,1027.8097074,0.0,0.001,298,298
0.0328,1028.2724831,0.0,0.001,298,298
0.033,1028.5812081,0.0,0.001,298,298
0.0332,1028.9373744,0.0,0.001,298,298
0.0334,1029.3314737,0.0,0.001,298,298
0.0336,1029.6920861,0.0,0.001,298,298
0.0338,1030.0376336,0.0,0.001,298,298
0.034,1030.4774946,0.0,0.001,298,298
0.0342,1030.8217245,0.0,0.001,298,298
0.0344,1031.1594805,0.0,0.001,298,298
0.0346,1031.6166341,0.0,0.001,298,298
0.0348,1031.9411758,0.0,0.001,298,298
0.035,1032.2900427,0.0,0.001,298,298
0.0352,1032.6132506,0.0,0.001,298,298
0.0354,1032.9461379,0.0,0.001,298,298
0.0356,1033.3033205,0.0,0.001,298,298
0.0358,1033.6797832,0.0,0.001,298,298
0.036,1033.9677307,0.0,0.001,298,298
0.0362,1034.299491,0.0,0.001,298,298
0.0364,1034.6272798,0.0,0.001,298,298
0.0366,1034.9820693,0.0,0.001,298,298
0.0368,1035.2748226,0.0,0.001,298,298
0.037,1035.644849,0.0,0.001,298,298
0.0372,1035.9742682,0.0,0.001,298,298
0.0374,1036.3034286,0.0,0.001,298,298
0.0376,1036.5825572,0.0,0.001,298,298
0.0378,1036.9230739,0.0,0.001,298,298
0.038,1037.1525777,0.0,0.001,298,298
0.0382,1037.4718472,0.0,0.001,298,298
