strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.66,1317.3361323282456,1315.9195296856242,1231.307055513944,1224.847352376912,1.134240525312793,1.133020815258468,1.0601685683661857,1.0546066947488861
0.67,1318.5689454857586,1317.2402054720203,1232.2155054830323,1225.9089206148572,1.1347764839830068,1.1336329541538843,1.06045966243066,1.0550321387299468
0.68,1319.782441594214,1318.5410175014458,1233.1095836550644,1226.9553175832982,1.1353047237629064,1.1342368245453578,1.0607469012467294,1.0554528716230818
0.69,1320.9772006083233,1319.8225500117214,1233.989723734977,1227.98697842231,1.1358254645577375,1.1348326529106605,1.061030387636747,1.0558690033371225
0.7,1322.1537769852848,1321.0853619016823,1234.8563402915763,1229.0043197094546,1.1363389169797158,1.1354206564414038,1.06131022032249,1.0562806399165
0.71,1323.3127011511892,1322.3299881738285,1235.7098298611718,1230.0077405037302,1.1368452828654376,1.1360010435471333,1.0615864941415878,1.0566878837202978
0.72,1324.4544808637793,1323.5569412758375,1236.550571973014,1230.9976233170223,1.1373447557577236,1.1365740143255494,1.0618593002497971,1.0570908335911582
0.73,1325.5796024802162,1324.766712349293,1237.378930103094,1231.9743350190315,1.1378375213547915,1.1371397610015297,1.0621287263102417,1.0574895850147135
0.74,1326.6885321376749,1325.959772393242,1238.1952525622094,1232.9382276810704,1.138323757929383,1.137698468337429,1.0623948566706014,1.0578842302701577
0.75,1327.7817168538509,1327.136573349455,1238.999873323644,1233.8896393636264,1.1388036367202252,1.1382503140168871,1.0626577725291653,1.0582748585725337
0.76,1328.8595855538017,1328.297549115604,1239.7931127953204,1234.8288948521351,1.139277322298001,1.1387954690041655,1.062917552090585,1.0586615562072736
0.77,1329.9225500289476,1329.4431164920534,1240.5752785408208,1235.7563063449988,1.1397449729077829,1.1393340978808824,1.0631742707120777,1.0590444066574747
0.78,1330.971005833536,1330.5736760673965,1241.3466659532814,1236.6721740975283,1.1402067407897383,1.1398663591618265,1.063428001040784,1.059423490724379
0.79,1332.0053331233846,1331.6896130474252,1242.1075588858002,1237.5767870251589,1.1406627724797331,1.1403924055913912,1.0636788131429116,1.059798886641481
0.8,1333.025897441304,1332.7912980318388,1242.8582302416753,1238.4704232689903,1.1411132090913343,1.1409123844220614,1.063926774625249,1.0601706701826537
0.81,1334.0330504532094,1333.879087742558,1243.5989425275015,1239.3533507264513,1.141558186580572,1.1414264376762158,1.0641719507495853,1.0605389147646658
0.82,1335.027130638577,1334.953325707249,1244.329948371889,1240.2258275496315,1.141997835994716,1.141934702392463,1.0644144045405304,1.0609036915444303
0.83,1336.0084639386075,1336.0143429012987,1245.0514910123304,1241.0881026136274,1.1424322837062135,1.1424373108575785,1.0646541968871872,1.0612650695113046
