Strain,Stress,delT,Rate,I_Temp,Temp
2.6,1204.1205138118323,0,0.0001,298.0,298.0
2.61,1204.2236632237457,0,0.0001,298.0,298.0
2.62,1204.3263356449083,0,0.0001,298.0,298.0
2.63,1204.4285350886703,0,0.0001,298.0,298.0
2.64,1204.53026551952,0,0.0001,298.0,298.0
2.65,1204.6315308538612,0,0.0001,298.0,298.0
2.66,1204.732334960775,0,0.0001,298.0,298.0
2.67,1204.8326816627678,0,0.0001,298.0,298.0
2.68,1204.932574736503,0,0.0001,298.0,298.0
2.69,1205.0320179135197,0,0.0001,298.0,298.0
2.7,1205.1310148809373,0,0.0001,298.0,298.0
2.71,1205.2295692821465,0,0.0001,298.0,298.0
2.72,1205.327684717486,0,0.0001,298.0,298.0
2.73,1205.425364744909,0,0.0001,298.0,298.0
2.74,1205.522612880634,0,0.0001,298.0,298.0
2.75,1205.619432599785,0,0.0001,298.0,298.0
2.76,1205.7158273370178,0,0.0001,298.0,298.0
2.77,1205.8118004871385,0,0.0001,298.0,298.0
2.78,1205.9073554057054,0,0.0001,298.0,298.0
2.79,1206.0024954096225,0,0.0001,298.0,298.0
2.8,1206.0972237777223,0,0.0001,298.0,298.0
2.81,1206.1915437513362,0,0.0001,298.0,298.0
2.82,1206.285458534854,0,0.0001,298.0,298.0
2.83,1206.3789712962762,0,0.0001,298.0,298.0
2.84,1206.4720851677528,0,0.0001,298.0,298.0
2.85,1206.5648032461136,0,0.0001,298.0,298.0
2.86,1206.6571285933892,0,0.0001,298.0,298.0
2.87,1206.7490642373216,0,0.0001,298.0,298.0
2.88,1206.840613171866,0,0.0001,298.0,298.0
2.89,1206.931778357684,0,0.0001,298.0,298.0
2.9,1207.0225627226275,0,0.0001,298.0,298.0
2.91,1207.1129691622132,0,0.0001,298.0,298.0
2.92,1207.2030005400904,0,0.0001,298.0,298.0
2.93,1207.2926596884986,0,0.0001,298.0,298.0
2.94,1207.381949408718,0,0.0001,298.0,298.0
2.95,1207.4708724715117,0,0.0001,298.0,298.0
2.96,1207.5594316175611,0,0.0001,298.0,298.0
2.97,1207.6476295578918,0,0.0001,298.0,298.0
2.98,1207.735468974293,0,0.0001,298.0,298.0
2.99,1207.8229525197312,0,0.0001,298.0,298.0
3.0,1207.9100828187525,0,0.0001,298.0,298.0
0.0,377.306,0,0.001,298.0,298.0
0.00011,451.27575832901823,0,0.001,298.0,298.0
0.0002,532.6380048656391,0,0.001,298.0,298.0
