Strain,RD_R_value,DD_R_value,TD_R_value
2.34,0.8399477442076256,1.0293245036565262,1.0022801228559797
2.35,0.8399477442077161,1.0293245036565262,1.0022801228559797
2.36,0.8399477442078066,1.0293245036565262,1.0022801228559797
2.37,0.8399477442078972,1.0293245036565262,1.0022801228559797
2.38,0.8399477442079877,1.0293245036565262,1.0022801228559797
2.39,0.8399477442080782,1.0293245036565262,1.0022801228559797
2.4,0.8399477442081686,1.0293245036565262,1.0022801228559797
2.41,0.8399477442082591,1.0293245036565262,1.0022801228559797
2.42,0.8399477442083496,1.0293245036565262,1.0022801228559797
2.43,0.8399477442084401,1.0293245036565262,1.0022801228559797
2.44,0.8399477442085306,1.0293245036565262,1.0022801228559797
2.45,0.8399477442086211,1.0293245036565262,1.0022801228559797
2.46,0.8399477442087115,1.0293245036565262,1.0022801228559797
2.47,0.839947744208802,1.0293245036565262,1.0022801228559797
2.48,0.8399477442088925,1.0293245036565262,1.0022801228559797
2.49,0.839947744208983,1.0293245036565262,1.0022801228559797
2.5,0.8399477442090735,1.0293245036565262,1.0022801228559797
2.51,0.8399477442091641,1.0293245036565262,1.0022801228559797
2.52,0.8399477442092546,1.0293245036565262,1.0022801228559797
2.53,0.839947744209345,1.0293245036565262,1.0022801228559797
2.54,0.8399477442094355,1.0293245036565262,1.0022801228559797
2.55,0.839947744209526,1.0293245036565262,1.0022801228559797
2.56,0.8399477442096165,1.0293245036565262,1.0022801228559797
2.57,0.839947744209707,1.0293245036565262,1.0022801228559797
2.58,0.8399477442097975,1.0293245036565262,1.0022801228559797
2.59,0.8399477442098879,1.0293245036565262,1.0022801228559797
2.6,0.8399477442099784,1.0293245036565262,1.0022801228559797
2.61,0.8399477442100689,1.0293245036565262,1.0022801228559797
2.62,0.8399477442101594,1.0293245036565262,1.0022801228559797
2.63,0.8399477442102499,1.0293245036565262,1.0022801228559797
2.64,0.8399477442103405,1.0293245036565262,1.0022801228559797
2.65,0.839947744210431,1.0293245036565262,1.0022801228559797
2.66,0.8399477442105214,1.0293245036565262,1.0022801228559797
2.67,0.8399477442106119,1.0293245036565262,1.0022801228559797
2.68,0.8399477442107024,1.0293245036565262,1.0022801228559797
2.69,0.8399477442107929,1.0293245036565262,1.0022801228559797
2.7,0.8399477442108834,1.0293245036565262,1.0022801228559797
2.71,0.8399477442109738,1.0293245036565262,1.0022801228559797
2.72,0.8399477442110643,1.0293245036565262,1.0022801228559797
2.73,0.8399477442111548,1.0293245036565262,1.0022801228559797
2.74,0.8399477442112453,1.0293245036565262,1.0022801228559797
2.75,0.8399477442113358,1.0293245036565262,1.0022801228559797
2.76,0.8399477442114264,1.0293245036565262,1.0022801228559797
2.77,0.8399477442115169,1.0293245036565262,1.0022801228559797
2.78,0.8399477442116073,1.0293245036565262,1.0022801228559797
2.79,0.8399477442116978,1.0293245036565262,1.0022801228559797
2.8,0.8399477442117883,1.0293245036565262,1.0022801228559797
2.81,0.8399477442118788,1.0293245036565262,1.0022801228559797
2.82,0.8399477442119693,1.0293245036565262,1.0022801228559797
2.83,0.8399477442120598,1.0293245036565262,1.0022801228559797
2.84,0.8399477442121502,1.0293245036565262,1.0022801228559797
2.85,0.8399477442122407,1.0293245036565262,1.0022801228559797
2.86,0.8399477442123312,1.0293245036565262,1.0022801228559797
2.87,0.8399477442124218,1.0293245036565262,1.0022801228559797
2.88,0.8399477442125123,1.0293245036565262,1.0022801228559797
2.89,0.8399477442126028,1.0293245036565262,1.0022801228559797
2.9,0.8399477442126932,1.0293245036565262,1.0022801228559797
2.91,0.8399477442127837,1.0293245036565262,1.0022801228559797
2.92,0.8399477442128742,1.0293245036565262,1.0022801228559797
2.93,0.8399477442129647,1.0293245036565262,1.0022801228559797
2.94,0.8399477442130552,1.0293245036565262,1.0022801228559797
2.95,0.8399477442131457,1.0293245036565262,1.0022801228559797
2.96,0.8399477442132361,1.0293245036565262,1.0022801228559797
2.97,0.8399477442133266,1.0293245036565262,1.0022801228559797
2.98,0.8399477442134171,1.0293245036565262,1.0022801228559797
2.99,0.8399477442135076,1.0293245036565262,1.0022801228559797
3.0,0.8399477442135981,1.0293245036565262,1.0022801228559797
